Run,Correlation (rho_l),Joint Entropy (H_l),Mutual Information (I_l)
1,0.57664,0,1.38627
2,0.389973,1.06027,0.325996
3,0.16701,1.09594,0.290331
4,0.0468327,1.08333,0.302936
5,0.221027,1.02237,0.363893
6,0.30836,0.938247,0.44802
7,0.288995,0.883935,0.502332
8,0.186485,0.896775,0.489492
9,0.0262,0.957451,0.428816
10,0.11364,1.03022,0.356045
11,0.209821,1.07258,0.313685
12,0.238352,1.08997,0.296293
13,0.193947,1.09322,0.293043
14,0.104814,1.08766,0.29861
15,0.00484198,1.0704,0.315864
,,,,
,,,,
J1,J2,R1,R2,H
1,-0.1,1,9,0
