Run,Correlation (rho_l),Joint Entropy (H_l),Mutual Information (I_l)
1,0.795533,0,1.38627
2,0.664978,0.952218,0.434054
3,0.517385,1.02893,0.357341
4,0.362061,1.07844,0.307832
5,0.209089,1.09813,0.288146
6,0.055163,1.09015,0.296125
7,0.0965302,1.0573,0.328971
8,0.225647,1.00158,0.384687
9,0.302183,0.93582,0.450452
10,0.325689,0.888587,0.497685
11,0.309467,0.87281,0.513462
12,0.260994,0.88377,0.502502
13,0.187885,0.914792,0.47148
14,0.0944667,0.956833,0.429439
15,0.000792593,1.0025,0.383775
,,,,
,,,,
J1,J2,R1,R2,H
1,-0.1,1,14,0
