Your, Name, 
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,1810860427051845756


Experiment #:,0
Rule:,0113424323442
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8917547520337767,2.199687794731328,0.0,
1,11,,0.968,0.8461538461538461,1.9913728372873425,2.295465679180292,0.0,
2,7,,0.8240000000000001,0.7692307692307692,2.17437434131205,2.2954656791802917,0.0,
3,9,,0.744,0.6923076923076923,2.104988553783204,2.199687794731328,0.0,
4,4,,0.624,0.6153846153846154,2.0707088979614228,2.133937566094917,0.0,
5,1,,0.6,0.5384615384615384,2.0058482303515555,1.9877733714879842,0.0,
6,5,,0.45599999999999996,0.46153846153846156,1.8236008134413528,1.8810947601100747,0.0,
7,6,,0.30400000000000005,0.3846153846153846,1.4555849638911524,1.7004397181410922,0.0,
8,3,,0.22399999999999998,0.3076923076923077,1.084095519055645,1.352030101757953,0.0,
9,8,,0.10399999999999998,0.23076923076923073,0.6182378744292428,1.1451104143815827,0.0,
10,10,,0.05600000000000005,0.15384615384615385,0.3444910460298935,0.7732283485249176,0.0,
11,2,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0,
12,12,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,1
Rule:,0323332123412
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7448246950041022,2.038159681645953,0.0,
1,12,,0.984,0.8461538461538461,1.7830847621548775,2.133937566094917,0.0,
2,1,,0.96,0.7692307692307692,1.8792643707063932,2.199687794731328,0.0,
3,3,,0.88,0.6923076923076923,2.0653178201461397,2.199687794731328,0.0,
4,2,,0.832,0.6153846153846154,2.115462462136194,2.133937566094917,0.0,
5,5,,0.688,0.5384615384615384,2.142190134540581,2.0458416408851736,0.0,
6,10,,0.64,0.46153846153846156,1.9382467121815352,1.7272486062639207,0.0,
7,4,,0.52,0.3846153846153846,1.7430233313320853,1.5465935642949384,0.0,
8,11,,0.496,0.3076923076923077,1.7032218625993547,1.352030101757953,0.0,
9,8,,0.376,0.23076923076923073,1.531784870249937,1.1451104143815827,0.0,
10,7,,0.23199999999999998,0.15384615384615385,0.997093854473825,0.7732283485249176,0.0,
11,9,,0.15200000000000002,0.07692307692307687,0.6148227571490692,0.39124356362925566,0.0,
12,6,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,2
Rule:,0322133444441
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.867384371551437,2.1339375660949167,0.0,
1,2,,0.944,0.8461538461538461,1.956418248325222,2.1339375660949167,0.0,
2,5,,0.8,0.7692307692307692,2.1030159114892943,2.1339375660949167,0.0,
3,1,,0.776,0.6923076923076923,2.0941146297400755,2.038159681645953,0.0,
4,10,,0.728,0.6153846153846154,2.1258843623786,2.038159681645953,0.0,
5,7,,0.5840000000000001,0.5384615384615384,2.0941146297400755,1.9877733714879842,0.0,
6,8,,0.46399999999999997,0.46153846153846156,1.9060755182556335,1.8810947601100747,0.0,
7,9,,0.384,0.3846153846153846,1.643965445942306,1.7004397181410922,0.0,
8,6,,0.23199999999999998,0.3076923076923077,1.0927397364999423,1.352030101757953,0.0,
9,3,,0.15200000000000002,0.23076923076923073,0.7104686391751864,0.9912642605354289,0.0,
10,4,,0.03200000000000003,0.15384615384615385,0.23028557096297186,0.7732283485249176,0.0,
11,12,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0,
12,11,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,3
Rule:,0332141222324
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.865787533243741,2.1339375660949167,0.0,
1,8,,0.872,0.8461538461538461,2.1982054808108162,2.2577560641285177,0.0,
2,3,,0.792,0.7692307692307692,2.2611503919762557,2.295465679180292,0.0,
3,10,,0.744,0.6923076923076923,2.1994341247187785,2.2577560641285177,0.0,
4,12,,0.736,0.6153846153846154,2.1929298590438786,2.133937566094917,0.0,
5,6,,0.5840000000000001,0.5384615384615384,2.068230005154886,1.9877733714879842,0.0,
6,9,,0.504,0.46153846153846156,1.9770629158988036,1.8810947601100747,0.0,
7,1,,0.48,0.3846153846153846,1.9028694231451284,1.7004397181410922,0.0,
8,2,,0.43200000000000005,0.3076923076923077,1.6655225220758807,1.352030101757953,0.0,
9,11,,0.40800000000000003,0.23076923076923073,1.6200226203213406,1.1451104143815827,0.0,
10,7,,0.264,0.15384615384615385,1.0951466133234102,0.7732283485249176,0.0,
11,4,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,5,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,4
Rule:,0231214313434
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9789903512373561,2.199687794731328,0.0,
1,5,,0.848,0.8461538461538461,2.2711692068565075,2.257756064128518,0.0,
2,3,,0.768,0.7692307692307692,2.249746964512259,2.199687794731328,0.0,
3,12,,0.76,0.6923076923076923,2.2480650358542134,2.161978179679554,0.0,
4,11,,0.736,0.6153846153846154,2.252207034695703,2.133937566094917,0.0,
5,9,,0.656,0.5384615384615384,2.220769099270443,2.045841640885174,0.0,
6,6,,0.504,0.46153846153846156,1.9388158428564044,1.8810947601100747,0.0,
7,10,,0.45599999999999996,0.3846153846153846,1.7045956272027252,1.5465935642949382,0.0,
8,4,,0.33599999999999997,0.3076923076923077,1.3455793306189372,1.352030101757953,0.0,
9,2,,0.28800000000000003,0.23076923076923073,1.247726910115989,1.1451104143815827,0.0,
10,1,,0.264,0.15384615384615385,1.0951466133234102,0.7732283485249176,0.0,
11,8,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,7,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,5
Rule:,0422113241344
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.0017281133893636,2.199687794731328,0.0,
1,11,,0.968,0.8461538461538461,2.0769030962261033,2.2954656791802917,0.0,
2,12,,0.96,0.7692307692307692,2.0932417542663404,2.295465679180292,0.0,
3,9,,0.88,0.6923076923076923,2.252207034695703,2.2577560641285177,0.0,
4,5,,0.736,0.6153846153846154,2.252207034695703,2.1339375660949167,0.0,
5,8,,0.616,0.5384615384615384,2.001731582119796,1.9877733714879842,0.0,
6,6,,0.46399999999999997,0.46153846153846156,1.6996264142316833,1.823026490712885,0.0,
7,1,,0.43999999999999995,0.3846153846153846,1.5566908308451761,1.4885252948977485,0.0,
8,3,,0.36,0.3076923076923077,1.4465324322880755,1.352030101757953,0.0,
9,10,,0.31200000000000006,0.23076923076923073,1.1953744618155595,0.9912642605354289,0.0,
10,7,,0.16800000000000004,0.15384615384615385,0.7981133676610607,0.7732283485249176,0.0,
11,2,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0,
12,4,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,6
Rule:,0143344331431
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.4441944537677855,1.8262452584026092,0.0,
1,8,,0.872,0.8461538461538461,1.793723474669493,1.9500637564362102,0.0,
2,7,,0.728,0.7692307692307692,1.8777568791374786,1.9877733714879842,0.0,
3,10,,0.6799999999999999,0.6923076923076923,1.8928609648692545,1.9877733714879842,0.0,
4,4,,0.56,0.6153846153846154,1.74408145313659,1.922023142851573,0.0,
5,2,,0.512,0.5384615384615384,1.7183167857481045,1.8339272176418302,0.0,
6,6,,0.36,0.46153846153846156,1.5080116217693569,1.669180336866731,0.0,
