Number of Genes (l),Population Size (N),Generations (G),Mutation Probability (P_m),Crossover Probability (P_c)
20,30,100,0.033,0.6

Generation,Avg Fitness,Best Fitness,# of Correct Bits in Best

1,0.0976977,0.987567,14
2,0.0990616,0.807932,11
3,0.215862,0.934369,11
4,0.0610767,0.50776,12
5,0.138132,0.914642,15
6,0.183887,0.967202,14
7,0.141393,0.918222,13
8,0.149431,0.911365,12
9,0.0525267,0.922231,16
10,0.15955,0.852596,15
11,0.0578996,0.989209,16
12,0.080191,0.984404,13
13,0.0810261,0.565984,14
14,0.0585939,0.430014,9
15,0.20205,0.982647,14
16,0.0588268,0.483691,10
17,0.0596621,0.839958,14
18,0.0984934,0.571067,10
19,0.136243,0.794603,13
20,0.0683285,0.821692,10
21,0.141384,0.935015,11
22,0.110405,0.658598,12
23,0.031855,0.529825,11
24,0.132717,0.889309,12
25,0.0732519,0.646319,9
26,0.137216,0.88338,12
27,0.0762769,0.799214,11
28,0.0654472,0.82589,11
29,0.0619389,0.758515,11
30,0.0739879,0.727768,16
31,0.1772,0.889902,8
32,0.101028,0.713411,17
33,0.048233,0.966683,12
34,0.190843,0.720692,11
35,0.0931644,0.952003,16
36,0.0781241,0.893032,13
37,0.0952826,0.784657,15
38,0.140524,0.866251,12
39,0.0699205,0.714312,14
40,0.106148,0.876428,11
41,0.0580692,0.981811,15
42,0.0541729,0.938676,12
43,0.024328,0.191278,12
44,0.0942321,0.826918,12
45,0.0896833,0.64619,13
46,0.0752575,0.924698,11
47,0.0560523,0.895136,11
48,0.0775266,0.700533,10
49,0.0826777,0.937595,13
50,0.105093,0.907425,13
51,0.0366698,0.620152,10
52,0.0694842,0.925659,13
53,0.11638,0.893919,12
54,0.135175,0.712524,17
55,0.0268426,0.440981,9
56,0.0544059,0.558549,8
57,0.0402386,0.50978,13
58,0.0340398,0.412723,11
59,0.072203,0.680477,11
60,0.17834,0.899331,12
61,0.122974,0.811331,10
62,0.109054,0.9949,15
63,0.119479,0.820574,14
64,0.0762012,0.452493,14
65,0.108094,0.930581,12
66,0.120151,0.957821,14
67,0.146702,0.733715,11
68,0.063209,0.879991,14
69,0.102919,0.965842,13
70,0.0862429,0.509702,12
71,0.0702218,0.613079,12
72,0.10566,0.789516,10
73,0.151104,0.895956,15
74,0.112018,0.939721,14
75,0.0898038,0.747882,11
76,0.0748717,0.595546,12
77,0.0693362,0.916572,14
78,0.0918684,0.960062,16
79,0.162754,0.918655,14
80,0.0393363,0.377801,9
81,0.113816,0.872599,12
82,0.0833905,0.641014,14
83,0.0566337,0.450451,10
84,0.0763865,0.414007,9
85,0.0554891,0.924823,11
86,0.0570577,0.359967,10
87,0.113503,0.817284,14
88,0.113369,0.873907,11
89,0.0607766,0.594996,10
90,0.0205344,0.346849,11
91,0.157053,0.943208,13
92,0.121651,0.685383,10
93,0.131794,0.874896,14
94,0.0947442,0.975815,16
95,0.0578574,0.835299,14
96,0.0982345,0.934872,10
97,0.0651072,0.719309,11
98,0.0600974,0.680862,11
99,0.113103,0.819481,13
100,0.175204,0.978992,13

1,0.0582321,0.753607,11
2,0.106267,0.66476,12
3,0.0674497,0.717234,13
4,0.0907923,0.8923,13
5,0.0586186,0.785931,12
6,0.187388,0.947251,15
7,0.138348,0.803707,15
8,0.0584509,0.701537,12
9,0.0839678,0.940984,13
10,0.0941592,0.969128,14
11,0.0855066,0.566687,13
12,0.0265209,0.511405,13
13,0.0829425,0.777298,11
14,0.0650477,0.943651,10
15,0.1565,0.992795,13
16,0.108941,0.813546,11
17,0.0889138,0.539334,9
18,0.134263,0.976795,14
19,0.0316276,0.286793,10
20,0.0624261,0.912409,11
21,0.0528769,0.721161,12
22,0.0937152,0.856603,11
23,0.0892293,0.872624,10
24,0.0928935,0.777837,10
25,0.107681,0.814037,12
26,0.136752,0.759267,11
27,0.0549581,0.40288,10
28,0.148051,0.938513,13
29,0.0871825,0.487899,11
30,0.0477026,0.861069,10
31,0.0706619,0.680052,10
32,0.0956781,0.910769,14
33,0.0772378,0.881225,11
34,0.0976577,0.902135,10
35,0.0601219,0.690709,12
36,0.107022,0.999514,17
37,0.0830162,0.650769,12
38,0.121745,0.925997,10
39,0.131331,0.902796,12
40,0.13172,0.692728,13
41,0.050454,0.479167,14
42,0.0422224,0.247336,14
43,0.0915375,0.962243,10
44,0.0480781,0.464853,13
45,0.0674396,0.597919,12
46,0.108237,0.982731,16
47,0.0712224,0.944901,13
48,0.145409,0.852406,14
49,0.111787,0.904807,15
50,0.0794936,0.659188,13
51,0.150609,0.930626,11
52,0.091144,0.916078,11
53,0.106994,0.733968,9
54,0.0755569,0.962345,13
55,0.0419267,0.328387,10
56,0.0588971,0.85031,14
57,0.100201,0.732864,9
58,0.100245,0.734365,11
59,0.0878684,0.80247,13
60,0.144156,0.891483,11
61,0.0679904,0.996448,15
62,0.0878786,0.943606,12
63,0.0859765,0.670501,11
64,0.0751136,0.961884,12
65,0.095709,0.77234,13
66,0.0616966,0.752868,13
67,0.119759,0.666241,15
68,0.125324,0.720777,13
69,0.113272,0.886156,14
70,0.149935,0.899747,14
71,0.107249,0.986352,12
72,0.0591825,0.745462,12
73,0.0796084,0.512799,12
74,0.165092,0.787645,13
75,0.0369878,0.708891,14
76,0.118124,0.990173,17
77,0.138685,0.864191,11
78,0.0928752,0.911005,9
79,0.0264483,0.305393,12
80,0.069799,0.483944,8
81,0.101825,0.819601,13
82,0.0531575,0.511963,11
83,0.107262,0.91968,15
84,0.0419775,0.208638,14
85,0.071094,0.598339,12
86,0.0774996,0.715793,14
87,0.0427697,0.578232,11
88,0.0619472,0.615958,10
89,0.0378825,0.666916,12
90,0.0885535,0.764897,13
91,0.0886517,0.714911,12
92,0.0742571,0.681922,12
93,0.0669328,0.856669,12
94,0.106825,0.738391,10
95,0.115778,0.931789,12
96,0.126215,0.683193,13
97,0.0640118,0.673275,8
98,0.0535861,0.652312,11
99,0.115496,0.857964,13
100,0.0415536,0.938567,13

1,0.0851559,0.553561,11
2,0.0598767,0.825336,13
3,0.122738,0.804256,15
4,0.115126,0.94019,13
5,0.11704,0.775695,11
6,0.138528,0.878666,13
7,0.0536929,0.465083,10
8,0.104854,0.951392,13
9,0.159037,0.888349,15
10,0.130581,0.658042,8
11,0.124596,0.98887,16
12,0.107904,0.777351,9
13,0.0753614,0.863564,12
14,0.103162,0.854564,8
15,0.101496,0.86886,13
16,0.0873254,0.98229,12
17,0.068324,0.659083,14
18,0.0911577,0.988171,13
19,0.067348,0.771841,12
20,0.0386669,0.873544,15
21,0.0775483,0.798357,11
22,0.0981143,0.770558,14
23,0.0902333,0.806516,13
24,0.115911,0.775832,11
25,0.159543,0.894618,11
26,0.0977645,0.762197,10
27,0.121243,0.877148,12
28,0.0628689,0.554559,13
29,0.0543297,0.72784,17
30,0.123749,0.865187,12
31,0.0711539,0.486202,10
32,0.0897689,0.753644,12
33,0.14116,0.709101,14
34,0.154325,0.995232,14
35,0.0720281,0.427642,12
36,0.0935275,0.688164,15
37,0.0635871,0.677475,12
38,0.0802473,0.569514,14
39,0.0666126,0.454942,10
40,0.0716715,0.500977,14
41,0.0971628,0.783347,12
42,0.0760073,0.849387,15
43,0.10001,0.958381,12
44,0.0265183,0.307604,11
45,0.0825711,0.552794,8
46,0.0941098,0.816266,15
47,0.0882728,0.664595,10
48,0.167369,0.96418,12
49,0.0595944,0.982168,13
50,0.0946746,0.837751,9
51,0.104381,0.978935,14
52,0.0872874,0.883841,14
53,0.0678354,0.711751,12
54,0.116288,0.78663,15
55,0.0432166,0.796847,8
56,0.0564455,0.791013,11
57,0.106823,0.728564,8
58,0.13131,0.976926,15
59,0.106651,0.725222,17
60,0.0916243,0.808971,11
61,0.0374894,0.347382,10
62,0.120574,0.9551,14
63,0.064451,0.535865,8
64,0.0970428,0.985194,15
65,0.121145,0.927787,12
66,0.0612584,0.799838,10
67,0.041766,0.236383,13
68,0.10744,0.781199,11
69,0.143623,0.818605,14
70,0.078394,0.728994,9
71,0.0679973,0.611772,14
72,0.127124,0.896293,13
73,0.0495772,0.570819,9
74,0.0805487,0.939956,15
75,0.0654725,0.402211,13
76,0.056242,0.705491,12
77,0.127588,0.777571,13
78,0.0662155,0.683417,10
79,0.0639938,0.83143,11
80,0.0761764,0.846732,14
81,0.127621,0.995954,16
82,0.0754575,0.806767,14
83,0.0922604,0.712292,15
84,0.134866,0.827577,13
85,0.115414,0.645521,10
86,0.0875914,0.646525,10
87,0.0854183,0.894566,13
88,0.0737455,0.620928,10
89,0.0546001,0.484878,13
90,0.00818599,0.0620406,11
91,0.0630583,0.452768,13
92,0.060647,0.621418,10
93,0.0215391,0.189914,11
94,0.0880604,0.840406,13
95,0.175894,0.930939,13
96,0.124872,0.688702,11
97,0.0279674,0.506125,12
98,0.123445,0.941237,13
99,0.110338,0.892851,14
100,0.0519288,0.436044,11

1,0.0977466,0.972611,12
2,0.116737,0.90656,9
3,0.141396,0.713157,15
4,0.0923778,0.60866,12
5,0.0368647,0.603846,10
6,0.156549,0.922931,13
7,0.107444,0.955842,14
8,0.114163,0.914194,15
9,0.069674,0.641173,12
10,0.10762,0.904162,14
11,0.110194,0.778629,11
12,0.150905,0.910549,13
13,0.0345268,0.282135,8
14,0.116641,0.790526,10
15,0.0866752,0.911707,11
16,0.116234,0.980077,14
17,0.0766719,0.596833,13
18,0.0349954,0.343437,9
19,0.0846452,0.905836,14
20,0.142264,0.959989,16
21,0.110066,0.945808,14
22,0.0656889,0.821628,9
23,0.131325,0.914713,14
24,0.143026,0.865899,12
25,0.0985196,0.841247,14
26,0.0724101,0.584978,10
27,0.0790003,0.487589,10
28,0.133636,0.805401,12
29,0.106936,0.926415,10
30,0.0967034,0.961681,11
31,0.0775741,0.579935,12
32,0.0933,0.663421,13
33,0.0788914,0.607965,10
34,0.103078,0.740462,10
35,0.0383845,0.371561,13
36,0.102896,0.87136,15
37,0.0553305,0.477115,15
38,0.0926275,0.989332,15
39,0.061747,0.459989,14
40,0.0393098,0.632431,8
41,0.102218,0.993458,13
42,0.070648,0.582845,13
43,0.101036,0.775187,10
44,0.054381,0.606638,11
45,0.101569,0.873274,14
46,0.0952809,0.697203,14
47,0.0867342,0.846707,12
48,0.0765083,0.754998,14
49,0.140891,0.789601,8
50,0.118056,0.859261,12
51,0.0892317,0.88828,14
52,0.107298,0.786906,11
53,0.0275751,0.197867,12
54,0.102196,0.842872,12
55,0.0721112,0.629439,12
56,0.0755695,0.768818,12
57,0.0353533,0.306119,12
58,0.0850822,0.725836,15
59,0.10923,0.952733,14
60,0.0746586,0.960651,16
61,0.0880875,0.977225,14
62,0.177794,0.978486,14
63,0.0433569,0.955686,15
64,0.0641547,0.955915,14
65,0.0978271,0.944312,12
66,0.0354803,0.502505,15
67,0.102104,0.818231,13
68,0.103842,0.980986,12
69,0.0787376,0.717616,12
70,0.0749905,0.738674,12
71,0.0826711,0.686476,12
72,0.00767358,0.0872603,7
73,0.105351,0.785823,14
74,0.116904,0.907827,12
75,0.137695,0.891397,12
76,0.0609206,0.516181,14
77,0.0323664,0.653059,10
78,0.0856493,0.838988,12
79,0.0502273,0.567735,11
80,0.0966081,0.714065,12
81,0.097881,0.801547,12
82,0.0815792,0.882102,12
83,0.092859,0.842096,13
84,0.0535036,0.896717,14
85,0.0537815,0.691147,13
86,0.0715293,0.739168,11
87,0.0815564,0.790619,10
88,0.1016,0.635291,10
89,0.104224,0.930948,12
90,0.104483,0.621257,9
91,0.0236031,0.24361,11
92,0.0778925,0.552291,11
93,0.0853149,0.622022,9
94,0.109628,0.698431,13
95,0.127354,0.594124,9
96,0.038176,0.555176,13
97,0.148031,0.965417,13
98,0.102056,0.754228,11
99,0.0710511,0.747111,12
100,0.103613,0.81368,12

1,0.0671677,0.590522,12
2,0.122027,0.982309,13
3,0.0617217,0.688191,12
4,0.0996004,0.622295,12
5,0.0903843,0.826717,13
6,0.103593,0.844722,15
7,0.0836313,0.887106,14
8,0.04801,0.973299,15
9,0.11327,0.967442,15
10,0.0562706,0.618299,16
11,0.0816225,0.908964,13
12,0.16566,0.979778,14
13,0.110344,0.931431,10
14,0.11558,0.896293,13
15,0.156774,0.941228,12
16,0.0568156,0.461091,14
17,0.181588,0.947805,12
18,0.0449165,0.541077,15
19,0.0804008,0.863957,10
20,0.0682122,0.467199,13
21,0.0214031,0.301005,9
22,0.0864385,0.606334,10
23,0.136764,0.91466,12
24,0.135805,0.685702,11
25,0.102352,0.917692,14
26,0.095811,0.951957,14
27,0.133172,0.889644,10
28,0.0264758,0.352382,10
29,0.0717086,0.832723,13
30,0.0705179,0.79245,11
31,0.120962,0.622644,12
32,0.0744201,0.556604,12
33,0.109152,0.762765,10
34,0.0981134,0.822676,12
35,0.12256,0.900537,11
36,0.0649093,0.933724,9
37,0.0838508,0.940371,14
38,0.102526,0.884174,14
39,0.066791,0.601283,12
40,0.132621,0.638787,12
41,0.0687123,0.604931,13
42,0.00937579,0.142268,9
43,0.0964372,0.969861,15
44,0.0535547,0.401254,10
45,0.0342037,0.303229,10
46,0.0406289,0.289938,7
47,0.0789823,0.939811,14
48,0.0766324,0.880127,9
49,0.134959,0.661591,13
50,0.0805121,0.707773,13
51,0.146048,0.846904,10
52,0.125427,0.946552,11
53,0.0510516,0.65614,15
54,0.075662,0.927698,10
55,0.0217528,0.167031,10
56,0.122533,0.953308,14
57,0.105988,0.882068,13
58,0.0848249,0.752535,10
59,0.057705,0.347718,10
60,0.074637,0.899496,12
61,0.0794788,0.558837,11
62,0.0505632,0.490575,11
63,0.0418529,0.590137,12
64,0.160688,0.911558,15
65,0.10675,0.945209,14
66,0.101085,0.637571,14
67,0.134371,0.859844,12
68,0.096376,0.849223,14
69,0.0585311,0.710573,13
70,0.0520741,0.757089,14
71,0.119098,0.938333,11
72,0.0886804,0.725436,15
73,0.098764,0.965121,14
74,0.131454,0.997333,15
75,0.0972055,0.561073,7
76,0.0772356,0.608105,14
77,0.0474756,0.56647,12
78,0.125961,0.770347,11
79,0.11609,0.916025,14
80,0.1144,0.99642,13
81,0.122237,0.950826,14
82,0.127785,0.885472,15
83,0.0729351,0.678833,12
84,0.10097,0.969852,16
85,0.088603,0.653911,13
86,0.0777251,0.477492,10
87,0.103937,0.864844,12
88,0.0630717,0.849404,13
89,0.102186,0.869457,12
90,0.034179,0.396836,12
91,0.0383978,0.443245,17
92,0.0789541,0.874482,13
93,0.0762397,0.489938,13
94,0.0855472,0.967637,12
95,0.0922498,0.653632,13
96,0.134805,0.902778,12
97,0.0954627,0.850895,14
