Epoch,Error x, Error y
1,19.6158,22.0261
2,19.2409,21.4205
3,18.8982,20.8224
4,18.5155,20.225
5,18.15,19.6364
6,17.7459,19.0664
7,17.3448,18.4951
8,16.959,17.9249
9,16.593,17.3605
10,15.2197,15.6129
11,15.7638,15.9929
12,15.3549,15.2935
13,14.3411,14.1099
14,14.3975,13.9084
15,14.0159,13.2036
16,13.9524,12.5992
17,13.9039,11.9836
18,13.6982,11.4155
19,13.2348,10.8983
20,12.8901,10.3731
21,12.5683,9.89092
22,12.2754,9.38801
23,11.9353,8.89803
24,11.5896,8.41834
25,11.2655,7.95267
26,10.9404,7.48935
27,10.5632,7.03509
28,10.1951,6.6004
29,9.90713,6.18359
30,9.53617,5.78316
31,9.20277,5.39276
32,8.8526,5.01608
33,8.49082,4.64867
34,8.16334,4.29425
35,7.82722,3.96296
36,7.5018,3.64097
37,7.16545,3.34967
38,6.83671,3.0706
39,6.53504,2.81217
40,6.22721,2.57557
41,5.93362,2.3481
42,5.63487,2.13872
43,5.36511,1.91874
44,5.10039,1.70735
45,4.81486,1.50218
46,4.53278,1.29218
47,4.2741,1.089
48,4.01172,0.899102
49,3.76173,0.718739
50,3.51348,0.575048
51,3.27792,0.449372
52,3.052,0.328979
53,2.83203,0.193386
54,2.61022,0.0944288
55,2.40364,0.0968866
56,2.20981,0.0776721
57,2.02014,0.0740945
58,1.83761,0.0689343
59,1.65797,0.0694674
60,1.4766,0.101382
61,1.32055,0.0497026
62,1.13998,0.0355179
63,0.960036,0.0289022
64,0.776357,0.0289998
65,0.598868,0.0296794
66,0.425776,0.0418031
67,0.25664,0.0442153
68,0.150345,0.0299407
69,0.095833,0.0272767
70,0.0902407,0.0309397
71,0.0704934,0.0214673
72,0.0937438,0.0360475
73,0.060173,0.0177269
74,0.0719462,0.0354658
75,0.0817253,0.0255748
76,0.0541794,0.0239349
77,0.0953903,0.015761
78,0.0571111,0.0180972
79,0.11712,0.0258224
80,0.107162,0.0164171
81,0.0378123,0.0196928
82,0.0836275,0.032451
83,0.0313543,0.0183318
84,0.0620231,0.0258295
85,0.0331236,0.0240382
86,0.0594566,0.0231122
87,0.0421041,0.0378314
88,0.0609275,0.0385881
89,0.0668876,0.0544701
90,0.0132015,0.0116867
91,0.038238,0.0319648
92,0.0803126,0.0129507
93,0.0661741,0.0275194
94,0.0439049,0.00949756
95,0.0146245,0.00791394
96,0.0253015,0.0164059
97,0.00802897,0.0126736
98,0.0108405,0.0119802
99,0.0290487,0.0140054
100,0.0056505,0.0293391
101,0.00927476,0.0154163
102,0.0255684,0.0367361
103,0.0102437,0.0318811
104,0.0104481,0.00977007
105,0.0205618,0.0119192
106,0.0104564,0.00149886
107,0.00752484,0.00230451



Converged at epoch: 107
