Particle (i),X,Y
1,-19.9865,-6.99972
2,-19.9977,-6.99993
3,-20.0002,-7.01644
4,-20,-6.99995
5,-20.0007,-6.99967
6,-19.9986,-6.99994
7,-20.0006,-6.99997
8,-20.0561,-6.99583
9,-19.9996,-7
10,-20,-6.99945
11,-20,-6.99999
12,-20.0001,-6.99604
13,-20,-7
14,-19.9931,-7.00284
15,-19.998,-7.00135
16,-20.0002,-6.99921
17,-20,-7.00013
18,-19.9996,-7.00004
19,-20,-7.00008
20,-20,-7.00048
21,-20.0001,-7.00106
22,-20.0006,-6.99991
23,-19.9999,-6.99998
24,-20,-7.00001
25,-20.0002,-6.99996
26,-19.9999,-7.00001
27,-20,-6.99999
28,-19.9993,-6.99918
29,-19.9999,-7.00131
30,-19.9997,-7.00051
